ano,mes,data,regiao,uf,cidade,temperatura_media,temperatura_maxima,temperatura_minima,chuva_mm,umidade,velocidade_vento,eventos_extremos,nivel_alerta
2015,1,2015-01-01,Norte,AM,Manaus,27.9,34.7,22.5,16.3,42.8,31.5,1,Alto
2015,1,2015-01-01,Norte,PA,Belém,24.4,28.1,17.9,96.5,74.9,33.6,2,Médio
2015,1,2015-01-01,Norte,PA,Santarém,21.1,24.9,17.5,155.3,86.6,3.5,0,Crítico
2015,1,2015-01-01,Norte,RO,Porto Velho,25.5,29.7,21.3,137.5,89.3,16.7,1,Baixo
2015,1,2015-01-01,Norte,TO,Palmas,23.2,30.2,17.6,202.1,46.4,16.4,2,Médio
2015,1,2015-01-01,Nordeste,BA,Salvador,24.2,31.7,21.0,74.4,58.2,34.3,3,Crítico
2015,1,2015-01-01,Nordeste,BA,Feira de Santana,22.9,27.9,19.5,97.3,68.3,26.6,2,Alto
2015,1,2015-01-01,Nordeste,PE,Recife,34.5,40.0,29.6,44.6,69.1,2.1,3,Baixo
2015,1,2015-01-01,Nordeste,PE,Jaboatão dos Guararapes,29.0,35.2,22.2,127.3,51.9,34.6,4,Alto
2015,1,2015-01-01,Nordeste,CE,Fortaleza,25.0,32.0,19.7,142.2,71.0,33.7,3,Baixo
2015,1,2015-01-01,Nordeste,CE,Juazeiro do Norte,27.3,31.3,22.1,94.0,53.1,3.8,0,Alto
2015,1,2015-01-01,Nordeste,MA,São Luís,30.5,37.8,26.8,116.2,36.0,27.6,0,Alto
2015,1,2015-01-01,Nordeste,PB,João Pessoa,24.7,31.6,21.1,101.2,50.6,11.7,2,Médio
2015,1,2015-01-01,Centro-Oeste,DF,Brasília,30.0,36.9,24.9,169.6,58.2,2.2,0,Médio
2015,1,2015-01-01,Centro-Oeste,GO,Goiânia,24.5,27.8,18.7,122.4,79.7,12.3,0,Médio
2015,1,2015-01-01,Centro-Oeste,GO,Aparecida de Goiânia,29.1,35.8,24.5,104.5,74.9,21.4,3,Médio
2015,1,2015-01-01,Centro-Oeste,MT,Cuiabá,15.5,19.2,10.5,34.9,57.2,17.4,2,Alto
2015,1,2015-01-01,Centro-Oeste,MS,Campo Grande,19.4,26.3,13.8,80.3,42.9,23.7,3,Médio
2015,1,2015-01-01,Sudeste,SP,São Paulo,28.8,36.5,22.1,35.8,89.2,33.8,4,Alto
2015,1,2015-01-01,Sudeste,SP,Campinas,26.2,30.2,23.0,97.5,39.8,17.4,0,Alto
2015,1,2015-01-01,Sudeste,SP,Ribeirão Preto,21.6,24.7,18.5,25.4,38.8,5.2,0,Baixo
